Altium Designer Pick and Place Locations
C:\Users\User\Desktop\PROJEKTI\120W_DC_SUPPLY\120W_PSU_LM25148\LM25148\Project Outputs for LM25148\Pick Place for LM25148(Only Populated Components).csv

========================================================================================================================
File Design Information:

Date:       29/10/25
Time:       17:08
Revision:   681a22b900e06c1f153e06c78e1c8b908dedef15
Variant:    Only Populated Components
Units used: mm

"Designator","Comment","Layer","Footprint","Footprint Description","Center-X(mm)","Center-Y(mm)","Rotation","Description","Height(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Variation"
"C33","2.2uF","TopLayer","CAP_0603","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","-24.0312","4.9657","180","8 pF ±0.05pF 25V Ceramic Capacitor C0G, NP0 01005 (0402 Metric)","0.8000","-24.0312","4.9657","-23.2312","4.9657","Fitted"
"C14","10uF","TopLayer","CAP_1206","Chip Capacitor, 2-Leads, Body 3.20x1.60mm, IPC Medium Density","-26.0632","28.7677","270","10 µF ±10% 50V Ceramic Capacitor X7R 1206 (3216 Metric)","0.9000","-26.0632","28.7677","-26.0632","30.2177","Fitted"
"C9","10uF","TopLayer","CAP_1206","Chip Capacitor, 2-Leads, Body 3.20x1.60mm, IPC Medium Density","-12.3472","28.7147","270","10 µF ±10% 50V Ceramic Capacitor X7R 1206 (3216 Metric)","0.9000","-12.3472","28.7147","-12.3472","30.1647","Fitted"
"L1","2.2uH","TopLayer","IHLP-3232DZ-51","Precision Wire Wound Inductor, 2-Leads, Body 8.64x8.81mm, IPC Medium Density","-19.2052","26.3017","180","FIXED IND 2.2UH 11.5A 12.5 MOHM","4.0000","-19.2052","26.3017","-15.5802","26.3017","Fitted"
"R11","41.2kOhm","TopLayer","RES_0603","Chip Resistor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","-13.3632","-2.0193","180","41.2 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film","0.8000","-13.3632","-2.0193","-12.5632","-2.0193","Fitted"
"R10","0 Ohm Jump","TopLayer","RES_0402","","-24.2852","1.9177","180","0 Ohms Jumper Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film","0.0000","-24.2852","1.9177","-23.8052","1.9177","Fitted"
"R9","100Kohm","TopLayer","RES_0603","Chip Resistor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","-24.1582","-0.1143","0","100 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film","0.8000","-24.1582","-0.1143","-24.9582","-0.1143","Fitted"
"R8","0 Ohm Jump","TopLayer","RES_0402","","-24.2852","2.9337","180","0 Ohms Jumper Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film","0.0000","-24.2852","2.9337","-23.8052","2.9337","Fitted"
"R6","24.9kOhm","TopLayer","RES_0603","Chip Resistor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","-13.3632","1.0287","180","24.9 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film","0.8000","-13.3632","1.0287","-12.5632","1.0287","Fitted"
"IC1","LM25148RGYR 42-V SYNCHRONOUS BUCK DC/DC CONT","TopLayer","VQFN25_RGY_TEX","","-18.6972","3.4417","180","Buck Regulator Positive Output Step-Down DC-DC Controller IC 24-VQFN (5.5x3.5)","0.0000","-18.6972","3.4417","-17.9472","0.6985","Fitted"
"C32","100nf","TopLayer","CAP_0603","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","-24.0312","6.4897","0","0.1 µF ±10% 25V Ceramic Capacitor X7R 0603 (1608 Metric)","0.8000","-24.0312","6.4897","-24.8312","6.4897","Fitted"
"C30","1.8nF","TopLayer","CAP_0603","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","-10.3152","1.0287","180","1800 pF ±10% 25V Ceramic Capacitor X7R 0603 (1608 Metric)","0.8000","-10.3152","1.0287","-9.5152","1.0287","Fitted"
"C29","100nf","TopLayer","CAP_0603","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","-12.8552","4.2037","180","0.1 µF ±10% 25V Ceramic Capacitor X7R 0603 (1608 Metric)","0.8000","-12.8552","4.2037","-12.0552","4.2037","Fitted"
"C18","100nf","TopLayer","CAP_0603","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","-61.3692","6.4897","180","0.1 µF ±10% 25V Ceramic Capacitor X7R 0603 (1608 Metric)","0.8000","-61.3692","6.4897","-60.5692","6.4897","Fitted"
"C17","100nf","TopLayer","CAP_0603","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","-61.3662","22.4917","180","0.1 µF ±10% 25V Ceramic Capacitor X7R 0603 (1608 Metric)","0.8000","-61.3662","22.4917","-60.5662","22.4917","Fitted"
"C16","10uF","TopLayer","CAP_1206","Chip Capacitor, 2-Leads, Body 3.20x1.60mm, IPC Medium Density","-45.6212","27.6987","90","10 µF ±10% 50V Ceramic Capacitor X7R 1206 (3216 Metric)","0.9000","-45.6212","27.6987","-45.6212","26.2487","Fitted"
"C15","0.1uF","TopLayer","CAP_0603","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","-21.3360","8.3820","180","0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)","0.8000","-21.3360","8.3820","-20.5360","8.3820","Fitted"
"C13","0.1uF","TopLayer","CAP_0603","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","-36.4062","25.7094","90","0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)","0.8000","-36.4062","25.7094","-36.4062","24.9094","Fitted"
"C12","0.1uF","TopLayer","CAP_0603","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","-34.8822","25.7094","270","0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)","0.8000","-34.8822","25.7094","-34.8822","26.5094","Fitted"
"C11","0.1uF","TopLayer","CAP_0603","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","-16.5382","7.7597","180","0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)","0.8000","-16.5382","7.7597","-15.7382","7.7597","Fitted"
"C10","2.2uF","TopLayer","CAP_0603","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","-12.8552","5.7277","180","8 pF ±0.05pF 25V Ceramic Capacitor C0G, NP0 01005 (0402 Metric)","0.8000","-12.8552","5.7277","-12.0552","5.7277","Fitted"
"C8","0.1uF","TopLayer","CAP_0603","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","-37.9810","25.7094","270","0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)","0.8000","-37.9810","25.7094","-37.9810","26.5094","Fitted"
"C7","0.1uF","TopLayer","CAP_0603","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","-39.5050","25.7094","90","0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)","0.8000","-39.5050","25.7094","-39.5050","24.9094","Fitted"
"C6","0.1uF","TopLayer","CAP_0603","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","-41.0290","25.7094","90","0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)","0.8000","-41.0290","25.7094","-41.0290","24.9094","Fitted"
"C5","10uF","TopLayer","CAP_1206","Chip Capacitor, 2-Leads, Body 3.20x1.60mm, IPC Medium Density","-48.0342","27.6987","90","10 µF ±10% 50V Ceramic Capacitor X7R 1206 (3216 Metric)","0.9000","-48.0342","27.6987","-48.0342","26.2487","Fitted"
"C4","10uF","TopLayer","CAP_1206","Chip Capacitor, 2-Leads, Body 3.20x1.60mm, IPC Medium Density","-50.4472","27.6987","90","10 µF ±10% 50V Ceramic Capacitor X7R 1206 (3216 Metric)","0.9000","-50.4472","27.6987","-50.4472","26.2487","Fitted"
"C3","10uF","TopLayer","CAP_1206","Chip Capacitor, 2-Leads, Body 3.20x1.60mm, IPC Medium Density","-52.8654","27.6780","90","10 µF ±10% 50V Ceramic Capacitor X7R 1206 (3216 Metric)","0.9000","-52.8654","27.6780","-52.8654","26.2280","Fitted"
"C2","10uF","TopLayer","CAP_1206","Chip Capacitor, 2-Leads, Body 3.20x1.60mm, IPC Medium Density","-55.2732","27.6987","270","10 µF ±10% 50V Ceramic Capacitor X7R 1206 (3216 Metric)","0.9000","-55.2732","27.6987","-55.2732","29.1487","Fitted"
