Altium Designer Pick and Place Locations
C:\Users\User\Desktop\PROJEKTI\120W_DC_SUPPLY\120W_PSU_LM25148\LM25148\Project Outputs for LM25148\Pick Place for LM25148(Only Populated Components).csv

========================================================================================================================
File Design Information:

Date:       03.08.25
Time:       20:19
Revision:   681a22b900e06c1f153e06c78e1c8b908dedef15
Variant:    Only Populated Components
Units used: mm

"Designator","Comment","Layer","Footprint","Footprint Description","Center-X(mm)","Center-Y(mm)","Rotation","Description","Height(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Variation"
"TP10","Test point","TopLayer","TestPoint","1mm","41.1480","13.2080","90","Test point 1mm","0.0000","41.1480","13.2080","41.1480","13.2080","Fitted"
"TP9","Test point","TopLayer","TestPoint","1mm","48.3870","12.4460","90","Test point 1mm","0.0000","48.3870","12.4460","48.3870","12.4460","Fitted"
"TP7","Test point","TopLayer","TestPoint","1mm","15.2400","12.7000","90","Test point 1mm","0.0000","15.2400","12.7000","15.2400","12.7000","Fitted"
"TP6","Test point","TopLayer","TestPoint","1mm","57.9120","4.4450","90","Test point 1mm","0.0000","57.9120","4.4450","57.9120","4.4450","Fitted"
"TP4","Test point","TopLayer","TestPoint","1mm","49.2480","11.1760","90","Test point 1mm","0.0000","49.2480","11.1760","49.2480","11.1760","Fitted"
"TP3","Test point","TopLayer","TestPoint","1mm","53.0986","16.5040","90","Test point 1mm","0.0000","53.0986","16.5040","53.0986","16.5040","Fitted"
"TP2","Test point","TopLayer","TestPoint","1mm","49.7332","14.1732","90","Test point 1mm","0.0000","49.7332","14.1732","49.7332","14.1732","Fitted"
"TP1","Test point","TopLayer","TestPoint","1mm","80.7720","23.8760","0","Test point 1mm","0.0000","80.7720","23.8760","80.7720","23.8760","Fitted"
"R11","41.2kOhm","TopLayer","RES_0603","Chip Resistor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","62.7380","18.0340","270","41.2 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film","0.8000","62.7380","18.0340","62.7380","18.8340","Fitted"
"R10","0 Ohm Jump","TopLayer","RES_0402","","56.8960","7.1120","270","0 Ohms Jumper Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film","0.0000","56.8960","7.1120","56.8960","7.5920","Fitted"
"R9","100Kohm","TopLayer","RES_0603","Chip Resistor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","60.7060","8.7630","90","100 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film","0.8000","60.7060","8.7630","60.7060","7.9630","Fitted"
"R8","0 Ohm Jump","TopLayer","RES_0402","","55.8800","7.1120","270","0 Ohms Jumper Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film","0.0000","55.8800","7.1120","55.8800","7.5920","Fitted"
"R6","24.9kOhm","TopLayer","RES_0603","Chip Resistor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","58.1660","18.6690","270","24.9 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film","0.8000","58.1660","18.6690","58.1660","19.4690","Fitted"
"IC1","LM25148RGYR 42-V SYNCHRONOUS BUCK DC/DC CONT","TopLayer","VQFN25_RGY_TEX","","55.3720","12.7000","270","Buck Regulator Positive Output Step-Down DC-DC Controller IC 24-VQFN (5.5x3.5)","0.0000","55.3720","12.7000","58.1152","13.4500","Fitted"
"C32","100nf","TopLayer","CAP_0603","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","52.3240","7.4040","90","0.1 µF ±10% 25V Ceramic Capacitor X7R 0603 (1608 Metric)","0.8000","52.3240","7.4040","52.3240","6.6040","Fitted"
"C31","6pF","TopLayer","CAP_0402","Chip Capacitor, 2-Leads, Body 0.40x0.20mm, IPC Medium Density","56.3880","9.1440","180","6 pF ±0.5pF 25V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)","0.2000","56.3880","9.1440","56.8680","9.1440","Not Fitted"
"C30","1.8nF","TopLayer","CAP_0603","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","59.6900","18.6690","90","1800 pF ±10% 25V Ceramic Capacitor X7R 0603 (1608 Metric)","0.8000","59.6900","18.6690","59.6900","17.8690","Fitted"
"C29","100nf","TopLayer","CAP_0603","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","54.6100","18.5420","270","0.1 µF ±10% 25V Ceramic Capacitor X7R 0603 (1608 Metric)","0.8000","54.6100","18.5420","54.6100","19.3420","Fitted"
"C28","22uF","TopLayer","CAP_1210","Chip Capacitor, 2-Leads, Body 3.20x2.50mm, IPC Medium Density","12.5760","24.8920","0","22 µF ±10% 25V Ceramic Capacitor X7R 1210 (3225 Metric)","2.8000","12.5760","24.8920","11.1760","24.8920","Fitted"
